DATE,IPB50001SQ
1977-01-01,47.4983
1977-04-01,48.9697
1977-07-01,49.5023
1977-10-01,49.8225
1978-01-01,49.6829
1978-04-01,51.6829
1978-07-01,52.1321
1978-10-01,53.0640
1979-01-01,53.2913
1979-04-01,53.1760
1979-07-01,53.0263
1979-10-01,53.2293
1980-01-01,53.4461
1980-04-01,51.1795
1980-07-01,50.3327
1980-10-01,52.2736
1981-01-01,52.3972
1981-04-01,52.5573
1981-07-01,53.0647
1981-10-01,51.9066
1982-01-01,50.8393
1982-04-01,50.1882
1982-07-01,49.4728
1982-10-01,48.5401
1983-01-01,49.1024
1983-04-01,50.1944
1983-07-01,51.9172
1983-10-01,53.2841
1984-01-01,54.8466
1984-04-01,55.6932
1984-07-01,56.0848
1984-10-01,56.1119
1985-01-01,56.2984
1985-04-01,56.3382
1985-07-01,56.2571
1985-10-01,56.5856
1986-01-01,56.9277
1986-04-01,56.5821
1986-07-01,56.7976
1986-10-01,57.4544
1987-01-01,58.2145
1987-04-01,59.2310
1987-07-01,60.3388
1987-10-01,61.8050
1988-01-01,62.3652
1988-04-01,62.8983
1988-07-01,63.1300
1988-10-01,63.5841
1989-01-01,63.8683
1989-04-01,63.6382
1989-07-01,63.2548
1989-10-01,63.5178
1990-01-01,63.9432
1990-04-01,64.4199
1990-07-01,64.6898
1990-10-01,63.6855
1991-01-01,62.4840
1991-04-01,62.8552
1991-07-01,63.7321
1991-10-01,63.8843
1992-01-01,63.8145
1992-04-01,64.9527
1992-07-01,65.4521
1992-10-01,66.1461
1993-01-01,66.7291
1993-04-01,66.8801
1993-07-01,67.1441
1993-10-01,68.1642
1994-01-01,69.0057
1994-04-01,70.2577
1994-07-01,71.1563
1994-10-01,72.6339
1995-01-01,73.3790
1995-04-01,73.6092
1995-07-01,74.2862
1995-10-01,74.9206
1996-01-01,75.4299
1996-04-01,77.0480
1996-07-01,78.0421
1996-10-01,79.1386
1997-01-01,80.6481
1997-04-01,81.8082
1997-07-01,83.6767
1997-10-01,85.7826
1998-01-01,86.7437
1998-04-01,87.3234
1998-07-01,87.9747
1998-10-01,89.2400
1999-01-01,90.2193
1999-04-01,91.0925
1999-07-01,91.9085
1999-10-01,93.5324
2000-01-01,94.4657
2000-04-01,95.6228
2000-07-01,95.5333
2000-10-01,95.3250
2001-01-01,94.0837
2001-04-01,92.8908
2001-07-01,91.6097
2001-10-01,90.6464
2002-01-01,91.3197
2002-04-01,92.7329
2002-07-01,93.2717
2002-10-01,93.2494
2003-01-01,93.7773
2003-04-01,93.1454
2003-07-01,93.7478
2003-10-01,94.6696
2004-01-01,95.3323
2004-04-01,95.8781
2004-07-01,96.4143
2004-10-01,97.7866
2005-01-01,99.1870
2005-04-01,99.6819
2005-07-01,99.2337
2005-10-01,100.1975
2006-01-01,101.1380
2006-04-01,101.7467
2006-07-01,102.1296
2006-10-01,102.3484
2007-01-01,103.2632
2007-04-01,104.5369
2007-07-01,104.8034
2007-10-01,105.1245
2008-01-01,104.7501
2008-04-01,103.1979
2008-07-01,99.7905
2008-10-01,95.5305
2009-01-01,90.1598
2009-04-01,87.5910
2009-07-01,88.9168
2009-10-01,90.3211
2010-01-01,92.1008
2010-04-01,93.8969
2010-07-01,95.1094
2010-10-01,95.4235
2011-01-01,95.9720
2011-04-01,96.3520
2011-07-01,97.4595
2011-10-01,98.4318
2012-01-01,99.3903
2012-04-01,100.0202
2012-07-01,100.0375
2012-10-01,100.5520
2013-01-01,101.3743
2013-04-01,101.7984
2013-07-01,102.0998
2013-10-01,102.8604
2014-01-01,103.6321
2014-04-01,105.0693
2014-07-01,105.6105
2014-10-01,106.3272
2015-01-01,105.4607
2015-04-01,104.1057
2015-07-01,104.0347
2015-10-01,102.7863
2016-01-01,102.3053
2016-04-01,101.7655
2016-07-01,102.0464
2016-10-01,102.2242
2017-01-01,102.4734
2017-04-01,103.7326
2017-07-01,103.3307
2017-10-01,105.2763
2018-01-01,105.9342
2018-04-01,107.2650
